epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.09847825765609741,0.8094315528869629,0.04976698011159897,0.8289397358894348,0.10782608389854431,0.8094310164451599,0.04840441048145294,0.8284053206443787
1,0.09717391431331635,0.8094315528869629,0.041253022849559784,0.8256018757820129,0.09521739184856415,0.8094310164451599,0.048234399408102036,0.8283388018608093
2,0.09853260964155197,0.8134023547172546,0.04128798097372055,0.8295866250991821,0.10000000149011612,0.7247001528739929,0.048559993505477905,0.7437356114387512
3,0.09967391192913055,0.5902799367904663,0.041479792445898056,0.6065400838851929,0.10130434483289719,0.5415509939193726,0.0480324923992157,0.560379683971405
4,0.10967390984296799,0.5325939059257507,0.04137148708105087,0.5488113760948181,0.13347825407981873,0.5289168953895569,0.04794823005795479,0.5477126240730286
5,0.19217391312122345,0.4968077540397644,0.0407237783074379,0.512771487236023,0.32739129662513733,0.43982863426208496,0.046702560037374496,0.45813605189323425
6,0.36641305685043335,0.4176609516143799,0.03759091719985008,0.43239670991897583,0.5121738910675049,0.3536173701286316,0.04402533546090126,0.3708752691745758
7,0.5172826051712036,0.34910041093826294,0.03439873456954956,0.3625849485397339,0.6878260970115662,0.28510037064552307,0.0410897396504879,0.3012075126171112
8,0.6240760684013367,0.3029975891113281,0.03240539878606796,0.31570056080818176,0.7513043284416199,0.2472606897354126,0.039366014301776886,0.2626921832561493
9,0.6878260970115662,0.2706783711910248,0.030817251652479172,0.2827587127685547,0.7856521606445312,0.22365769743919373,0.03886703774333,0.2388935685157776
10,0.7350000143051147,0.246232271194458,0.029496802017092705,0.25779494643211365,0.8147826194763184,0.20523592829704285,0.03798554837703705,0.22012625634670258
11,0.7741304636001587,0.22650323808193207,0.02836167998611927,0.2376209795475006,0.8352174162864685,0.18630020320415497,0.037082403898239136,0.20083647966384888
12,0.8009782433509827,0.21031740307807922,0.027598023414611816,0.22113578021526337,0.8578261137008667,0.17435427010059357,0.03634163737297058,0.18860019743442535
13,0.8194021582603455,0.19736933708190918,0.026869816705584526,0.20790226757526398,0.8826087117195129,0.16113823652267456,0.0358334556221962,0.175184965133667
14,0.8368478417396545,0.18633845448493958,0.0262309480458498,0.19662100076675415,0.8843477964401245,0.15079697966575623,0.035209640860557556,0.16459913551807404
15,0.8492934703826904,0.17557410895824432,0.025834746658802032,0.18570128083229065,0.8899999856948853,0.1408950388431549,0.03484721481800079,0.15455512702465057
16,0.8600543737411499,0.16660630702972412,0.025283003225922585,0.17651723325252533,0.906521737575531,0.13566181063652039,0.03471813350915909,0.14927132427692413
17,0.8682608604431152,0.15957236289978027,0.025055503472685814,0.16939407587051392,0.9017391204833984,0.12734243273735046,0.03428550064563751,0.14078235626220703
18,0.876086950302124,0.1518881916999817,0.02462976984679699,0.161543071269989,0.9186956286430359,0.12194707244634628,0.03399065136909485,0.13527140021324158
19,0.883967399597168,0.14513510465621948,0.02435753121972084,0.15468324720859528,0.9178261160850525,0.11532129347324371,0.03395283222198486,0.12863080203533173
20,0.8902717232704163,0.13909855484962463,0.024160975590348244,0.14856962859630585,0.9208695888519287,0.113083615899086,0.033636726438999176,0.12626919150352478
21,0.8953260779380798,0.1337815523147583,0.023935385048389435,0.14316415786743164,0.9265217185020447,0.1073770597577095,0.033525820821523666,0.12051918357610703
22,0.9024456739425659,0.13023261725902557,0.023835763335227966,0.1395762860774994,0.926086962223053,0.10351010411977768,0.03344166278839111,0.11661923676729202
